"trait" "joint_lambda" "meta_lambda"
"LOG_LABA68" 0.993969977730939 1.01737140440978
"LOG_LABA69" 0.996044649956997 1.01831663145842
"LOG_ANTA4" 1.00361307593991 1.03735669077659
"LOG_LABA66" 0.980862908626529 1.01265488832358
"LOG_BMI" 0.994955554979612 1.03496250337767
"LOG_ANTA10A" 0.985778817348405 1.02352687491244
"LOG_ANTA10B" 0.990084777725503 1.03018631978214
"LOG_SBPA5" 1.00110267802067 1.0164268192567
"LOG_SBPA6" 0.992954242306784 1.01784393766812
"LOG_INSULIN_FAST" 0.996067678172083 1.02923302962251
"HEIGHT" 0.975434943888211 1.06494019730017
"LOG_WAIST_HIP" 0.994308878658098 1.01218411709122
"LOG_LABA70" 0.984266339836995 1.02257810911284
"LOG_LABA76" 0.994815876785393 1.02257810911284
"LOG_LABA67" 0.978060578935577 1.01548287553491
"LOG_LABA101" 0.988840521136666 1.02305241142593
"LOG_LABA91" 0.990228605888604 1.01737140440978
"LOG_LABA66.1" 0.980862908626529 1.01265488832358
"LOG_INSULIN_OGTT" 1.00618569875432 1.02210396791467
"LOG_LABA1" 0.990665510243262 1.03066320791561
"LABA10" 0.99366181100319 1.02828038721235
"LABA11" 1.00070747924909 1.02637704375394
"LABA12" 1.00116081193144 1.02305241142593
"LABA13" 0.996202133453173 1.01878948583881
"LABA14" 0.998376182331966 1.00420541433214
"LABA2" 0.989151536792984 1.02068251042517
"LOG_LABA3" 0.990223047030778 1.01218411709122
"LOG_LABA9" 0.995820435841018 1.01902597326847
"LOG_LABA74" 0.999572935328068 1.02257810911284
"LOG_LABA75" 0.997691094702857 1.01501114406583
"LOG_LABA102" 0.994398553938274 1.0088931906852
"LOG_LABA103" 1.00503071419007 1.01784393766812
"LOG_LABA82" 0.99221966816907 0.991627609352945
"LOG_SLPA54" 0.997379063408105 1.01689903162533
